                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0198,                  2.186,                0.71764,                  2.635,                 1.4427,                0.00374,                      1,                0.61231,                0.42146,                0.00374,                      1,                0.61231,                0.41121,                0.82911,                  1.478,                0.80035,                 3.5727,                 1.6149,             0.00054023,             0.00054023,             0.00054023
                      2,                  1.073,                 1.0846,                0.67515,                 1.9136,                 1.4656,                0.41301,                0.74528,                0.63568,                0.37349,                0.41301,                0.74528,                0.63568,                0.58165,                 0.8745,                0.99457,                0.69565,                 3.2568,                 1.6149,              0.0010525,              0.0010525,              0.0010525
                      3,                 1.1206,                0.75964,                0.60278,                 1.5998,                 1.4627,                0.89447,                0.61534,                0.88868,                0.58332,                0.89447,                0.61534,                0.88868,                0.75368,                 1.0586,                 0.6552,                0.64488,                 2.7718,                 1.7735,              0.0015208,              0.0015208,              0.0015208
                      4,                  1.078,                0.58166,                0.58161,                 1.4604,                 1.4294,                0.83545,                0.83194,                0.91439,                0.59217,                0.83545,                0.83194,                0.91575,                0.86987,                 1.2208,                0.35743,                0.51587,                 2.0021,                  1.953,               0.001469,               0.001469,               0.001469
                      5,                 1.0551,                  0.513,                0.51908,                  1.344,                 1.3963,                0.87175,                0.91667,                0.94323,                0.63924,                0.87175,                0.91667,                0.94323,                0.87505,                 1.0136,                0.34449,                0.34421,                 1.6183,                 1.6337,              0.0014029,              0.0014029,              0.0014029
                      6,                   1.03,                0.46832,                0.48145,                 1.2221,                 1.3785,                0.83753,                0.82957,                0.88298,                 0.5888,                0.83753,                0.82957,                0.88298,                0.85949,                 1.0008,                0.29651,                0.22453,                 1.5088,                 1.6581,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.0031,                0.45801,                0.44528,                 1.1578,                 1.3571,                0.94991,                0.95743,                0.95885,                0.63668,                0.94991,                0.95743,                0.95885,                0.91802,                 1.0742,                0.27912,                0.24479,                 1.1564,                 1.7244,              0.0012709,              0.0012709,              0.0012709
                      8,                0.98275,                0.40988,                0.40557,                 1.0679,                 1.3422,                0.89154,                0.92348,                0.96466,                0.59872,                0.89154,                0.92348,                0.96466,                0.94273,                 1.1823,                0.21752,                0.14159,                 1.1786,                 1.7888,              0.0012049,              0.0012049,              0.0012049
                      9,                0.97975,                0.39593,                0.37334,                 1.0272,                 1.3455,                0.86645,                0.85467,                0.92679,                0.64164,                0.86645,                0.85467,                0.92679,                0.91367,                0.98104,                  0.196,                0.16577,                 1.1408,                 1.6186,              0.0011389,              0.0011389,              0.0011389
                     10,                0.92763,                0.36085,                0.35773,                 0.9327,                 1.2932,                0.95726,                0.91427,                0.97327,                0.68218,                0.95726,                0.91427,                0.97327,                0.96655,                  1.024,                0.16623,                0.14307,                0.86031,                 1.6521,              0.0010729,              0.0010729,              0.0010729
